Date,Open,High,Low,Close,Adj Close,Volume
2022-11-17,143.410004,146.179993,143.250000,146.089996,146.089996,3954000
2022-11-18,146.559998,148.309998,145.940002,147.639999,147.639999,4661700
2022-11-21,147.550003,147.929993,146.449997,146.679993,146.679993,3476200
2022-11-22,147.600006,149.350006,147.020004,149.100006,149.100006,7062100
2022-11-23,149.100006,150.460007,148.300003,148.750000,148.750000,3658200
2022-11-25,148.270004,149.490005,148.100006,148.369995,148.369995,2075200
2022-11-28,147.979996,148.240005,145.940002,146.179993,146.179993,3538100
2022-11-29,145.910004,147.169998,145.699997,146.490005,146.490005,2754700
2022-11-30,146.190002,149.639999,145.669998,148.899994,148.899994,6377600
2022-12-01,149.979996,150.009995,147.339996,149.160004,149.160004,4495900
2022-12-02,148.130005,149.160004,147.729996,148.669998,148.669998,2900000
2022-12-05,147.940002,148.929993,146.800003,147.410004,147.410004,2784600
2022-12-06,147.300003,147.800003,146.699997,147.500000,147.500000,2847600
2022-12-07,147.330002,148.100006,146.289993,147.270004,147.270004,3971300
2022-12-08,147.899994,149.149994,147.369995,147.779999,147.779999,2665700
2022-12-09,147.399994,148.339996,146.970001,147.050003,147.050003,3047600
2022-12-12,147.820007,149.210007,146.940002,149.210007,149.210007,4032800
2022-12-13,150.369995,153.210007,149.949997,150.570007,150.570007,8811500
2022-12-14,150.470001,151.910004,148.449997,149.860001,149.860001,4205900
2022-12-15,148.520004,148.979996,141.580002,142.360001,142.360001,6687000
2022-12-16,141.250000,141.919998,138.970001,140.160004,140.160004,9834400
2022-12-19,140.160004,140.440002,137.199997,138.869995,138.869995,5282900
2022-12-20,138.839996,141.429993,138.339996,141.279999,141.279999,5156500
2022-12-21,141.839996,143.089996,140.979996,142.139999,142.139999,3793700
2022-12-22,140.949997,141.440002,138.619995,140.880005,140.880005,3337100
2022-12-23,140.589996,141.860001,139.600006,141.649994,141.649994,2092500
2022-12-27,141.729996,142.720001,141.229996,142.419998,142.419998,2742400
2022-12-28,142.399994,142.809998,139.949997,140.020004,140.020004,2539500
2022-12-29,140.580002,142.259995,140.449997,141.059998,141.059998,2337200
2022-12-30,140.539993,140.899994,139.449997,140.889999,140.889999,2858000
2023-01-03,141.100006,141.899994,140.479996,141.550003,141.550003,3338600
2023-01-04,142.070007,143.619995,141.369995,142.600006,142.600006,3869200
2023-01-05,142.440002,142.500000,140.009995,141.110001,141.110001,2866600
2023-01-06,142.380005,144.250000,141.580002,143.699997,143.699997,3573600
2023-01-09,144.080002,145.470001,143.399994,143.550003,143.550003,3987700
2023-01-10,143.610001,144.850006,142.899994,144.800003,144.800003,2152100
2023-01-11,145.000000,145.529999,143.449997,145.259995,145.259995,3268700
2023-01-12,144.880005,146.660004,144.520004,145.550003,145.550003,2715900
2023-01-13,144.059998,146.100006,144.009995,145.889999,145.889999,2455700
2023-01-17,146.419998,147.179993,145.009995,145.190002,145.190002,2986500
2023-01-18,144.399994,144.679993,140.229996,140.410004,140.410004,6445600
2023-01-19,140.000000,142.229996,139.750000,140.619995,140.619995,4833900
2023-01-20,141.669998,141.860001,140.509995,141.199997,141.199997,7152700
2023-01-23,141.399994,142.990005,141.059998,141.860001,141.860001,5898400
2023-01-24,141.250000,142.750000,140.000000,141.490005,141.490005,4407600
2023-01-25,140.470001,141.029999,139.360001,140.759995,140.759995,7347500
2023-01-26,137.529999,138.270004,132.979996,134.449997,134.449997,17548500
2023-01-27,134.440002,135.490005,133.770004,134.389999,134.389999,8140700
2023-01-30,134.320007,136.110001,133.979996,135.300003,135.300003,5375700
2023-01-31,135.500000,135.649994,133.759995,134.729996,134.729996,7206400
2023-02-01,134.490005,135.789993,132.800003,135.089996,135.089996,5428900
2023-02-02,135.960007,136.720001,134.850006,136.389999,136.389999,6104900
